id,title,author,type,institution,publication_date,topic,cites,abstract,link
10,StatsBomb Release Expected Goals with Shot Impact Height,Ted Knutson,Blogpost,Statsbomb,31/07/2020,Expected Goals,,"Our hope was that explicitly including shot impact height would improve the model in some edge cases, especially those requiring particularly majestic leaps or difficult bodily contortions to connect with. While this addition doesn’t provide a huge leap forward in accuracy overall, there certainly are many shots whose values far better pass the eye test now when compared to video.",https://statsbomb.com/2020/07/statsbomb-release-expected-goals-with-shot-impact-height/
11,SoccerMap: A Deep Learning Architecture for Visually-Interpretable Analysis in Soccer,"Javier Fernández, Luke Bornn",Paper,"Polytechnic University of Catalonia, FC Barcelona, Simon Fraser University",20/10/2020,"Possession & Action Value, Tracking Data",,"We present a fully convolutional neural network architecture that is capable of estimating full probability surfaces of potential passes in soccer, derived from high-frequency spatiotemporal data. The network receives layers of low-level inputs and learns a feature hierarchy that produces predictions at different sampling levels, capturing both coarse and fine spatial details. By merging these predictions, we can produce visually-rich probability surfaces for any game situation that allows coaches to develop a fine-grained analysis of players' positioning and decision-making, an as-yet little-explored area in sports. We show the network can perform remarkably well in the estimation of pass success probability, and present how it can be adapted easily to approach two other challenging problems: the estimation of pass-selection likelihood and the prediction of the expected value of a pass. Our approach provides a novel solution for learning a full prediction surface when there is only a single-pixel correspondence between ground-truth outcomes and the predicted probability map. The flexibility of this architecture allows its adaptation to a great variety of practical problems in soccer. We also present a set of practical applications, including the evaluation of passing risk at a player level, the identification of the best potential passing options, and the differentiation of passing tendencies between teams. ",https://arxiv.org/abs/2010.10202
12,Valuing On-the-Ball Actions in Soccer: A Critical Comparison of xT and VAEP,"Maaike Van Roy, Pieter Robberechts, Tom Decroos, Jesse Davis",Paper,KU Leuven,28/02/2020,Possession & Action Value,,"Objectively quantifying a soccer player’s contributions within a match is a challenging and crucial task in soccer analytics. Many of the currently available metrics focus on measuring the quality of shots and assists only, although these represent less than 1% of all on-the-ball actions. Most recently, several approaches were proposed to bridge this gap. By valuing how actions increase or decrease the likelihood of yielding a goal, these models are effective tools for quantifying the performances of players for all sorts of actions. However, we lack an understanding of their differences, both conceptually and in practice. Therefore, this paper critically compares two such models: expected threat (xT) and valuing actions by estimating probabilities (VAEP). Both approaches exhibit variety in their design choices, that leads to different top player rankings and major differences in how they value specific actions.",https://tomdecroos.github.io/reports/xt_vs_vaep.pdf
13,Enhancing xG models with freeze frame data,"Cem Arslan, Jesse Davis, Pieter Robberechts",Blogpost,KU Leuven,02/09/2020,Expected Goals,,This blogpost explores how to exploit the extra information available in StatsBomb’s freeze frame data to address the following question: How should you encode the position of th defenders and the goalkeeper as features in an xG model?,https://dtai.cs.kuleuven.be/sports/blog/enhancing-xg-models-with-freeze-frame-data
14,How data quality affects xG,"Jesse Davis, Pieter Robberechts",Blogpost,KU Leuven,01/07/2020,Expected Goals,,"In two previous blog posts, we’ve looked into how the choice of data, features and models affects xG. One remaining aspect that we ignored up to now is the effect that the choice of data provider has on xG. It is worth noting that Opta, Statsbomb, Wyscout, Metrica, InStat and all other data providers have their own data quality problems and use different event definitions. Hence, one might wonder whether a different data source would lead to different xG values and different results when analyzing games or evaluating players.",https://dtai.cs.kuleuven.be/sports/blog/how-data-quality-affects-xg
15,Exploring how VAEP values actions,Pieter Robberechts,Blogpost,KU Leuven,27/04/2020,Possession & Action Value,,"Starting from a historical game state, the tool allows you to alter all the attributes that VAEP uses to value an action and to explore how small changes in the game state affect the result. In the short clip below, we show how this works for the goal by Jesus against Wolverhampton in the 2018/19 season. Originally, Jesus’ shot gets a VAEP value of 0.58, but moving Jesus’ further away from the goal increases the VAEP value (because scoring becomes harder further away from the goal). Similarly, the VAEP value decreases a bit if you add one goal to the current scoreline (because scoring the opening goal is considered harder).",https://dtai.cs.kuleuven.be/sports/blog/exploring-how-vaep-values-actions
16,Introducing Atomic-SPADL: A New Way to Represent Event Stream Data,"Jesse Davis, Tom Decroos, Pieter Robberechts",Blogpost,KU Leuven,05/05/2020,Data,,"To accomodate this alternative viewpoint, we introduce Atomic-SPADL, which removes the “result” attribute from SPADL and adds a few new action and event types. In this representation, all actions are “atomic” in the sense that they are always completed successfully without interruption. Consequently, while SPADL treats a pass as one action consisting of both the initiation and receival of the pass, Atomic-SPADL sees giving and receiving a pass as two separate actions.",https://dtai.cs.kuleuven.be/sports/blog/introducing-atomic-spadl-a-new-way-to-represent-event-stream-data
17,How data availability affects the ability to learn good xG models,"Jesse Davis, Pieter Robberechts",Blogpost,KU Leuven,12/05/2020,Expected Goals,,"In this blog post, we showed that the amount of data needed to train an accurate xG model depends on the complexity of the learner and the number of features, with up to 5 seasons of data needed to train a complex gradient boosted trees model. Despite the style of play changing over time and varying between leagues, we did not find that using only recent data or league-specific models improves the accuracy significantly. Hence, if limited data is available, training models on less recent data or different leagues is a viable solution.",https://dtai.cs.kuleuven.be/sports/blog/how-data-availability-affects-the-ability-to-learn-good-xg-models
18,Illustrating the interplay between features and models in xG,"Jesse Davis, Pieter Robberechts",Blogpost,KU Leuven,14/05/2020,Expected Goals,,"We train eight logistic regression models, one for each way of encoding a shot’s location. We also augment the feature set to include a variable for the body part used in the shot, encoded as a dummy variable. We use two seasons of data from each of the top-5 European leagues and the Dutch one to train the model and report results on the 2018/2019 seasons of these leagues. As we have argued previously in several places, calibration is the key criteria for evaluating probabilistic predictions so we report the Brier score. To help place the results in context, we also include the area under the ROC curve (AUROC), even though it is a ranking metric. ",https://dtai.cs.kuleuven.be/sports/blog/illustrating-the-interplay-between-features-and-models-in-xg
19,Our thoughts on American Soccer Analysis' g+ metric,"Jesse Davis, Tom Decroos, Pieter Robberechts, Jan Van Haaren, Lotte Bransen",Blogpost,KU Leuven,15/05/2020,Possession & Action Value,42,"At a high level, VAEP and g+ are extremely similar. Both methods value each game situation in a soccer match by considering how likely it is to score and concede from that particular situation. Both methods exploit the fact that an action alters the game situation and value an action by the difference between the new situation’s value and the previous one’s value. This approach rewards players for increasing their team’s chance of scoring and decreasing their team’s chance of conceding. Therefore, the differences between VAEP and g+ will arise from technical choices made when converting the data into the feature-vector format used to train the gradient boosted ensemble that estimates the scoring and conceding probabilities.",https://dtai.cs.kuleuven.be/sports/blog/our-thoughts-on-american-soccer-analysis'-g+-metric
20,SoccerMix: Representing Soccer Actions with Mixture Models,"Jesse Davis, Tom Decroos, Pieter Robberechts, Maike Van Roy",Blogpost,KU Leuven,02/12/2020,Playing Style,2,"Last year, we introduced our Player Vectors approach for automatically characterizing a player’s style of play. In the meantime, we haven’t been standing still and developed SoccerMix: an improved approach which takes account of the location and direction in which actions are performed. Beyond this, we have also introduced a methodology for exploring defensive style. Namely, our insight is that the objective of defending is often to prevent certain actions from occurring. Hence, some insights into a team’s defensive style can be found by measuring how a team forces its opponents to deviate from their usual playing style.",https://dtai.cs.kuleuven.be/sports/blog/soccermix:-representing-soccer-actions-with-mixture-models
21,Real-Time Camera Pose Estimation for Sports Fields,"Leonardo Citraro, Pablo Márquez-Neila, Stefano Savarè, Vivek Jayaram, Charles Dubout, Félix Renaut, Andrés Hasfura, Horesh Ben Shitrit, Pascal Fua",Paper,"Polytechnique Lausanne, University of Bern, Second Spectrum Inc",31/03/2020,Computer Vision,,"Given an image sequence featuring a portion of a sports field filmed by a moving and uncalibrated camera, such as the one of a smartphone, our goal is to compute automatically and in real-time the focal length and extrinsic camera parameters for each image in the sequence without using a priori knowledges of the position and orientation of the camera. To this end, we propose a novel framework that combines accurate localization and robust identification of specific keypoints in the image by using a fully-convolutional deep architecture. Our algorithm exploits both the field lines and the players’ image locations, assuming their ground plane positions to be given, to achieve accuracy and robustness that is beyond the current state of the art. We will demonstrate its effectiveness on challenging soccer, basketball, and volleyball benchmark datasets.",https://arxiv.org/pdf/2003.14109.pdf
22,How to Build An Expected Goals Model 1: Data and Model,David Sumpter,Video,Friends of Tracking,03/05/2020,Expected Goals,,David Sumpter goes through the steps needed to create an expected goals model. This lecture covers: Why Expected Goals are Important? Plotting 2D histogram of shot and goal positions. Shot angle. How probability of scoring depends on shot angle and distance?,https://www.youtube.com/watch?v=bpjLyFyLlXs
23,How to Build An Expected Goals Model 2: Statistical fitting,David Sumpter,Video,Friends of Tracking,07/05/2020,Expected Goals,22,David Sumpter goes through the steps needed to create an expected goals model. This lecture covers: Fitting straight lines using linear regression. The logistic function. Fitting shot angle and distance separately. Fitting shot angle and distance separately. Working with regression tools.,https://www.youtube.com/watch?v=wHOgINJ5g54
24,Game of Throw-ins,Eliot McKinley,Blogpost,American Soccer Analysis,27/11/2018,Standards,,"Throw-ins are an integral part of every soccer game. In MLS regular season play since 2015 almost 64,000 throw-ins were taken (all data is based on 2015-2018). They occur 44 times a game on average, accounting for almost 5% of all passes. Twice during the 2018 MLS season throw-ins accounted for over 10% of passes in a game. However, a search of MLS’ website brings up only the definition of “Throw-In”, a defunct regular column (with some words about early use of analytics in MLS), and some discussion of long throw-ins as scoring threats. Nobody, at least publicly, seems to be talking about normal run-of-the-mill throw-ins. ",https://www.americansocceranalysis.com/home/2018/11/27/game-of-throw-ins
25,The best penalty takers of all time,Barca Numbers,Blogpost,Independent,27/03/2018,Standards,,"How many times did you search for ‘the best penalty takers of all time’ in Google and then clicked one disappointing article after another. Yeah, thought so. Well, this is an article about the best penalty takers of all time, so let’s hope it is less disappointing.",https://barcanumbers.wordpress.com/2018/03/27/the-best-penalty-takers-of-all-time/
26,Wide Open Spaces: A statistical technique for measuring space creation in professional soccer,"Javier Fernández, Luke Bornn",Paper,"FC Barcelona, Simon Fraser University, Sacramento Kings",23/02/2018,"Pitch Control, Possession & Action Value",,"We present a method for quantifying spatial value occupation and generation during open play. Here direct space occupation refers to space created for oneself, while space generation refers to opening up space for teammates by attracting opponents out of position. We 􀏐irst build a novel parametric pitch control model that incorporates motion information, relative distance to the ball, and player position in order to provide a smooth surface of potential ball control. Through the mixture of all players’ control surfaces we obtain a fuzzy degree of potential ball control at the team level in any given moment. We also construct a model for the relative value of any pitch position, based on the position of the ball and using feed forward neural networks. From all this (a player’s invested pitch zones, a team’s pitch control, and the relative value of each zone), we employ the full spatio-temporal dynamics of each player to construct two novel spatial value creation metrics, accounting for both occupation and generation of spaces.",https://www.researchgate.net/publication/324942294_Wide_Open_Spaces_A_statistical_technique_for_measuring_space_creation_in_professional_soccer
27,Caley on his xG model '15,Michael Caley,Blogpost,Independent,19/10/2015,Expected Goals,32,Caley on his xG model '15,https://cartilagefreecaptain.sbnation.com/2015/10/19/9295905/premier-league-projections-and-new-expected-goals
28,Decomposing the Immeasurable Sport: A deep learning expected possession value framework forsoccer,"Javier Fernández, Luke Bornn, Dan Cervone",Paper,"FC Barcelona, Simon Fraser University, Sacramento Kings, Los Angeles Dodgers",02/03/2019,Possession & Action Value,,"In order to make an impact on key decision-makers within the sport, soccer analytics requires a comprehensive tool to facilitate a continuous cycle of questions and answers with coaches. Analytic methods must therefore encapsulate a wide set of actions of interest to coaches to provide a detailed and flexible interpretation of complex aspects of the game. In this paper we develop such a model, measuring and elucidating instantaneous value on the pitch. Specifically, we quantify the expected outcome at every moment in a possession, driven by a fine-grained evaluation of the full spatio-temporal characteristics of the 22 players as well as the potential value of ball drives, shots, or passes to any location.",http://www.lukebornn.com/papers/fernandez_sloan_2019.pdf
29,Pass Footedness in the Premier League,James Yorke,Blogpost,Statsbomb,26/04/2019,Data,,"One of the many enhanced features of StatsBomb Data is pass footedness. Today we’re going to look at some results from looking at this feature of the data and show how pass footedness manifests within the Premier League. Footedness has historically been a feature that has been added to shot data and not passes, but shot volumes are small, and genuine clues around footedness can be concealed by player style or availability or opportunity",https://statsbomb.com/2019/04/pass-footedness-in-the-premier-league/
30,Score Effects,Ben Pugsley,Blogpost,Statsbomb,04/12/2013,Game State,,In this post I'm going to present some numbers on Score Effects which will show what teams do when leading or trailing by a goal and why those teams employ the seemingly odd strategies that they do.,https://statsbomb.com/2013/12/score-effects/
31,Rethinking shots: generation and conversion,Marek Kwiatkowski,Blogpost,Independent,21/10/2018,Game State,30,"Specifically, I was able to show that the home field advantage is mediated by the quantity rather than the quality of shots, that shooting rates differ between not just game states but individual scorelines and that the longer the game goes on without a shot, the more likely the players are to shoot. In addition, the framework presented here has direct applications to performance evaluation and prediction of results, which I hope to discuss in follow-up articles.",https://www.kwiatkowski.io/rethinking-shots
32,Caley on his xG model '14,Michael Caley,Blogpost,Independent,11/09/2014,Expected Goals,,Caley on his xG model '14,https://cartilagefreecaptain.sbnation.com/2014/9/11/6131661/premier-league-projections-2014#methoderology
33,Using self-propelled particle models to aid player decision-making in soccer,"Francisco Peralta Alguacil, Javier Fernández, Pablo Piñones Arce, David Sumpter",Paper,"Uppsala University, FC Barcelona, Hammarby IFFotboll",07/03/2020,"Pitch Control, Possession & Action Value",,"Soccer has some of the most complex team movement patterns of any team sport. Recently, several measurements have been proposed for evaluating state of play and for identifying the expected value of dribbles, passes or shots. The next step is to automatically identify the alternative actions available to players both on and off the ball. We address this challenge by defining three optimization criteria that drives the movement of players during attack. (1) Pass probability: A player moves to maximize the probability of pass success to either himself or to another player, e. g. by opening up a passing lane. (2) Pitch Impact: Occupy point on the field which is maximally dangerous. For example, a striker moves to a point directly in front of goal. (3) Pitch Control: Maximize the amount of space controlled by the team.",https://global-uploads.webflow.com/5f1af76ed86d6771ad48324b/5f6a6920624a527f2e4ac845_SLOAN-Peralta-Final-submission.pdf
34,Optimising Game Tactics for Football,"Ryan Beal, Georgios Chalkiadakis, Timothy J. Norman, Sarvapali D. Ramchurn",Paper,"University of Southampton, Technical University of Crete",23/03/2020,Tactics,,"In this paper we present a novel approach to optimise tactical and strategic decision making in football (soccer). We model the game of football as a multi-stage game which is made up from a Bayesian game to model the pre-match decisions and a stochastic game to model the in-match state transitions and decisions. Using this formulation, we propose a method to predict the probability of game outcomes and the payoffs of team actions. Building upon this, we develop algorithms to optimise team formation and in-game tactics with different objectives. Empirical evaluation of our approach on real-world datasets from 760 matches shows that by using optimised tactics from our Bayesian and stochastic games, we can increase a team chances of winning by up to 16.1% and 3.4% respectively. ",https://arxiv.org/abs/2003.10294
35,Group Activity Detection from Trajectory and Video Data in Soccer,"Ryan Sanford, Siavash Gorji, Luiz G. Hafemann, Bahareh Pourbabaee, Mehrsan Javan",Paper,Sportlogiq,21/04/2020,Computer Vision,,"Group activity detection in soccer can be done by us-ing either video data or player and ball trajectory data.In current soccer activity datasets, activities are labelledas atomic events without a duration. Given that the state-of-the-art activity detection methods are not well-definedfor atomic actions, these methods cannot be used. In thiswork, we evaluated the effectiveness of activity recognitionmodels for detecting such events, by using an intuitive non-maximum suppression process and evaluation metrics. Wealso considered the problem of explicitly modeling interac-tions between players and ball. For this, we propose self-attention models to learn and extract relevant informationfrom a group of soccer players for activity detection fromboth trajectory and video data. We conducted an extensivestudy on the use of visual features and trajectory data forgroup activity detection in sports using a large scale soccerdataset provided by Sportlogiq. Our results show that mostevents can be detected using either vision or trajectory-based approaches with a temporal resolution of less than0.5seconds, and that each approach has unique challenges.",https://arxiv.org/abs/2004.10299
36,Cracking the Black Box: Distilling Deep Sports Analytics,"Xiangyu Sun, Jack Davis, Oliver Schulte, Guiliang Liu",Paper,Simon Fraser University,29/06/2020,Possession & Action Value,,"This paper addresses the trade-off between Accuracy and Transparency for deep learning applied to sports analytics. Neural nets achieve great predictive accuracy through deep learning, and are popular in sports analytics. But it is hard to interpret a neural net model and harder still to extract actionable insights from the knowledge implicit in it. Therefore, we built a simple and transparent model that mimics the output of the original deep learning model and represents the learned knowledge in an explicit interpretable way. Our mimic model is a linear model tree, which combines a collection of linear models with a regression-tree structure. The tree version of a neural network achieves high fidelity, explains itself, and produces insights for expert stakeholders such as athletes and coaches. We propose and compare several scalable model tree learning heuristics to address the computational challenge from datasets with millions of data points. ",https://arxiv.org/abs/2006.04551
37,Inverse Reinforcement Learning for Team Sports: Valuing Actions and Players,"Yudong Luo, Oliver Schulte, Pascal Poupart",Paper,"Simon Fraser University, University of Waterloo, Sportlogiq",31/07/2020,Possession & Action Value,,"A major task of sports analytics is to rank playersbased on the impact of their actions. Recent meth-ods have applied reinforcement learning (RL) to as-sess the value of actions from a learned action valueor Q-function.  A fundamental challenge for esti-mating action values is that explicit reward signals(goals) are very sparse in many team sports, suchas ice hockey and soccer. This paper combines Q-function learning with inverse reinforcement learn-ing (IRL) to provide a novel player ranking method.We treat professional play as expert demonstra-tions for learning an implicit reward function. Ourmethod alternates single-agent IRL to learn a re-ward function for multiple agents; we provide atheoretical justification for this procedure. Knowl-edge transfer is used to combine learned rewardsand observed rewards from goals. Empirical evalu-ation, based on 4.5M play-by-play events in the Na-tional Hockey League (NHL), indicates that playerranking using the learned rewards achieves highcorrelations with standard success measures andtemporal consistency throughout a season.",https://www.ijcai.org/Proceedings/2020/0464.pdf
38,Deep soccer analytics: learning an action-value function for evaluating soccer players,"Guiliang Liu, Yudong Luo, Oliver Schulte, Tarak Kharrat",Paper,"Simon Fraser University, Sportlogiq",30/09/2020,Possession & Action Value,,"Given the large pitch, numerous players, limited player turnovers, and sparse scor-ing, soccer is arguably the most challenging to analyze of all the major team sports. In thiswork, we develop a new approach to evaluating all types of soccer actions from play-by-playevent data. Our approach utilizes a Deep Reinforcement Learning (DRL) model to learn anaction-value Q-function. To our knowledge, this is the first action-value function based onDRL methods for a comprehensive set of soccer actions. Our neural architecture fits con-tinuous game context signals and sequential features within a play with two stacked LSTMtowers, one for the home team and one for the away team separately. To validate the modelperformance, we illustrate both temporal and spatial projections of the learned Q-function,and conduct a calibration experiment to study the data fit under different game contexts. Ournovel soccer Goal Impact Metric (GIM) applies values from the learned Q-function, to mea-sure a player’s overall performance by the aggregate impact values of his actions over allthe games in a season. To interpret the impact values, a mimic regression tree is built to findthe game features that influence the values most. As an application of our GIM metric, weconduct a case study to rank players in the English Football League (EFL) Championship.Empirical evaluation indicates GIM is a temporally stable metric, and its correlations withstandard measures of soccer success are higher than that computed with other state-of-the-art soccer metrics.",https://www.researchgate.net/publication/343122623_Deep_soccer_analytics_learning_an_action-value_function_for_evaluating_soccer_players
39,Introducing DAVIES: A framework for Identifying Talent Across the Globe,"Mike Imburgio, Sam Goldberg",Blogpost,American Soccer Analysis,17/09/2020,"Scouting, Playing Style, Possession & Action Value",42,"DAVIES, named after MLS phenom and current Bayern Munich outside back Alphonso Davies, was inspired by its namesake’s rise to fame. We wanted to give teams around the globe the same chance as Bayern Munich to identify and sign the next iteration of Alphonso Davies, a player who could be anywhere in the world. So how did we do that? The first step was to build a dataset of players with metrics that are made available by any data provider: xG, xA, Touches, Tackles Won, Passes Attempted, Successful Dribbles, and Clearances are a few examples of the types of metric we included. The next step we took was to build a few different complex models and concatenate them into a singular model. Known as ensemble modeling, this gave the modeling team a better idea of what metrics were actually important to use. After this process was completed, we identified important metrics using data from a different source than our final model used. This allowed us to estimate our model’s accuracy using different data sources and take advantage of the amount of MLS data we had available. Just as importantly, it helped avoid statistical biases that would harm the model’s real-world performance. After this process was completed, we had our final list of 17 important variables that we wanted to include in our final model.",https://www.americansocceranalysis.com/home/2020/9/16/davies-determining-added-value-of-individual-effectiveness-including-style
40,Defining Roles: How Every Player Contributes to Goals,Mike Imburgio,Blogpost,American Soccer Analysis,04/08/2020,Playing Style,,"Wouldn’t it be nice if we had a data-driven way of determining a playstyle that we could use to give us an idea of how a winger...wings? With a clustering analysis that might be possible. In a simple world, a clustering analysis takes a bunch of data and sorts it into groups called clusters. That makes it perfect for what we’re trying to do here - we can, in theory, take a bunch of stats for every MLS outfield player and form groups that represent different roles or playstyles. This would allow us to separate the Rossi’s from the Nani’s. Quantifying defensive contributions with statistics is its own mountain of difficulties, so it’s easiest to start trying to do this with attacking stats.",https://www.americansocceranalysis.com/home/2020/8/3/defining-roles-how-every-player-contributes-to-goals
41,Goals Added: Deep Dive Methodology,Matthias Kullowatz,Blogpost,American Soccer Analysis,04/05/2020,Possession & Action Value,42,"Ever since we founded American Soccer Analysis in 2013, I’ve hoped to construct a metric that credits players for actions all over the field, not just for goals and assists. I’ve always wanted something that could be used to ascribe values to players in a currency all soccer fans could understand. In the pre-ASA era, I got my fix analyzing baseball statistics, where analysts are spoiled by tons of publicly available data and a sport that, by rule, creates distinct plays largely independent of all other plays. I wanted to create something like Wins Above Replacement (WAR) for soccer players, but there was a huge lack of data available for soccer compared to baseball, and I thought my dream had died before it ever got started.",https://www.americansocceranalysis.com/home/2020/5/4/goals-added-deep-dive-methodology
42,Goals Added: Introducing A New Way To Measure Soccer,John Muller,Blogpost,American Soccer Analysis,04/05/2020,Possession & Action Value,,"Matthias Kullowatz, American Soccer Analysis’s brilliant math prof turned soccer modeler, has built a new model that values any touch of the ball anywhere on the field in terms of goals. Not just how likely a pass is to lead to a goal, although it does do that. Not just how likely a tackle is to prevent a goal. For every single on-ball action—a header won, a dribble lost, an awful corner kick that sails over everyone’s head, you name it—the model digs through a bunch of contextual data and calculates how much the play improved that possession’s probability of ending in a goal and, just as importantly, how much it reduced the other team’s chance of scoring on the next possession. Which means we can now compare all kinds of plays with the same unit of account: their likely effect on the scoreline.",https://www.americansocceranalysis.com/home/2020/4/22/37ucr0d5urxxtryn2cfhzormdziphq
